filename,state,length,width,image_length,image_width
Box_2_Control_074_1_14211.jpg,C,68,24,70,30
Box_2_Control_074_1_14217.jpg,C,65,23,67,27
Box_2_Control_074_1_14219.jpg,C,44,22,46,23
Box_2_Control_074_1_14227.jpg,C,42,26,46,27
Box_2_Control_074_2_14276.jpg,C,56,25,58,27
Box_2_Control_074_4_14295.jpg,C,63,24,64,28
Box_2_Control_074_4_14308.jpg,C,45,23,47,29
Box_2_Control_074_5_14320.jpg,C,68,28,70,31
Box_2_Control_074_6_14356.jpg,C,61,21,63,26
Box_2_Control_074_6_14359.jpg,C,43,23,43,25
Box_2_Control_076_1_14373.jpg,C,49,25,51,26
Box_2_Control_076_3_14437.jpg,C,57,24,59,28
Box_2_Control_076_3_14439.jpg,C,49,23,49,27
Box_2_Control_078_2_14537.jpg,C,44,22,46,25
Box_2_Control_078_4_14630.jpg,C,66,23,69,28
Box_2_Control_078_4_14643.jpg,C,68,25,69,29
Box_2_Control_078_5_14663.jpg,C,44,24,44,25
Box_2_Control_078_5_14666.jpg,C,41,25,41,27
Box_2_Control_078_5_14667.jpg,C,58,26,58,29
Box_2_Control_078_6_14688.jpg,C,44,25,44,26
Box_2_Control_080_1_14699.jpg,C,57,27,59,28
Box_2_Control_080_3_14723.jpg,C,63,26,64,29
Box_2_Control_080_3_14729.jpg,C,75,25,79,28
Box_2_Control_080_5_14811.jpg,C,37,24,38,26
Box_2_Control_080_5_14813.jpg,C,45,24,47,26
Box_2_Control_080_5_14816.jpg,C,53,23,53,24
Box_2_Control_080_6_14823.jpg,C,49,25,51,29
Box_2_Control_082_4_14881.jpg,C,89,30,91,33
Box_2_Control_082_5_14925.jpg,C,46,30,48,33
Box_2_Control_082_6_14906.jpg,C,72,27,73,28
Box_2_Control_084_1_14965.jpg,C,38,23,42,26
Box_2_Control_084_1_14966.jpg,C,42,24,44,27
Box_2_Control_084_1_14975.jpg,C,35,23,37,27
Box_2_Control_084_1_14980.jpg,C,63,22,64,28
Box_2_Control_084_1_14984.jpg,C,34,23,36,23
Box_2_Control_084_1_14985.jpg,C,37,23,39,26
Box_2_Control_084_2_14942.jpg,C,58,24,60,28
Box_2_Control_084_2_14943.jpg,C,64,25,67,26
Box_2_Control_084_2_14945.jpg,C,42,27,42,30
Box_2_Control_084_2_14946.jpg,C,49,24,50,28
Box_2_Control_084_3_15002.jpg,C,47,27,49,28
Box_2_Control_084_4_15039.jpg,C,39,24,40,27
Box_2_Control_084_5_15054.jpg,C,58,24,60,25
Box_2_Control_084_5_15055.jpg,C,48,26,48,27
Box_2_Control_084_5_15062.jpg,C,46,25,47,28
Box_2_Control_084_6_15089.jpg,C,49,26,50,27
Box_2_Control_084_6_15091.jpg,C,55,24,57,28
Box_2_Control_084_6_15102.jpg,C,50,23,53,25
Box_2_Control_086_1_15120.jpg,C,55,26,59,29
Box_2_Control_086_1_15131.jpg,C,42,27,43,29
Box_2_Control_086_5_15242.jpg,C,42,26,44,28
Box_2_Control_086_6_15259.jpg,C,68,24,70,27
Box_2_Control_086_6_15260.jpg,C,50,25,53,28
Box_2_Control_086_6_15265.jpg,C,58,23,61,27
Box_2_Control_088_3_15346.jpg,C,42,27,44,28
Box_2_Control_088_4_15401.jpg,C,31,21,32,25
Box_2_Control_088_5_15402.jpg,C,50,25,52,26
Box_2_Control_088_5_15412.jpg,C,60,22,63,26
Box_2_Control_090_1_15496.jpg,C,57,25,61,28
Box_2_Control_090_1_15511.jpg,C,62,21,64,24
Box_2_Control_090_1_15517.jpg,C,67,25,68,28
Box_2_Control_090_3_15535.jpg,C,57,23,58,26
Box_2_Control_090_6_15628.jpg,C,64,21,66,24
Box_2_Control_092_1_15674.jpg,C,38,23,40,24
Box_2_Control_092_1_15679.jpg,C,41,23,44,25
Box_2_Control_092_2_15687.jpg,C,60,24,62,25
Box_2_Control_092_2_15701.jpg,C,44,23,48,25
Box_2_Control_092_2_15716.jpg,C,77,20,80,21
Box_2_Control_092_3_15730.jpg,C,55,21,59,23
Box_2_Control_092_4_15817.jpg,C,57,22,58,26
Box_2_Control_092_4_15820.jpg,C,43,22,44,25
Box_2_Control_092_4_15824.jpg,C,67,24,68,26
Box_2_Control_092_5_15770.jpg,C,42,22,44,24
Box_2_Control_094_1_15846.jpg,C,54,25,57,27
Box_2_Control_094_2_15879.jpg,C,54,23,55,27
Box_2_Control_094_2_15887.jpg,C,37,23,38,25
Box_2_Control_094_4_15939.jpg,C,47,23,49,25
Box_2_Control_094_5_15969.jpg,C,56,23,57,25
Box_2_Control_094_6_15993.jpg,C,61,23,62,28
Box_2_Control_094_6_16004.jpg,C,58,23,59,26
Box_2_Control_096_1_16025.jpg,C,42,23,44,25
Box_2_Control_096_1_16033.jpg,C,58,24,59,26
Box_2_Control_096_1_16034.jpg,C,58,23,61,24
Box_2_Control_096_1_16041.jpg,C,51,21,52,24
Box_2_Control_096_1_16046.jpg,C,43,21,45,23
Box_2_Control_096_1_16048.jpg,C,66,20,69,22
Box_2_Control_096_1_16049.jpg,C,57,26,58,27
Box_2_Control_096_2_16055.jpg,C,61,24,63,27
Box_2_Control_096_2_16059.jpg,C,51,23,53,25
Box_2_Control_096_2_16061.jpg,C,51,26,52,27
Box_2_Control_096_2_16066.jpg,C,63,21,65,25
Box_2_Control_096_3_16088.jpg,C,44,23,47,26
Box_2_Control_096_3_16093.jpg,C,63,22,65,26
Box_2_Control_096_4_16108.jpg,C,43,23,45,26
Box_2_Control_096_4_16112.jpg,C,46,21,47,25
Box_2_Control_096_4_16115.jpg,C,54,21,56,26
Box_2_Control_096_4_16116.jpg,C,47,21,48,27
Box_2_Control_096_4_16117.jpg,C,50,25,53,26
Box_2_Control_096_4_16120.jpg,C,40,21,42,24
Box_2_Control_096_4_16122.jpg,C,42,25,43,25
Box_2_Acidic_022_5_641.jpg,A,73,29,73,29
Box_2_Acidic_028_1_918.jpg,A,78,26,83,30
Box_2_Acidic_032_4_1021.jpg,A,64,23,66,30
Box_2_Acidic_046_2_1055.jpg,A,61,27,62,29
Box_2_Acidic_052_4_1678.jpg,A,56,22,59,26
Box_2_Acidic_056_6_1363.jpg,A,48,24,50,29
Box_2_Acidic_060_2_1887.jpg,A,62,24,65,31
Box_2_Acidic_060_2_1891.jpg,A,57,22,58,26
Box_2_Acidic_062_1_2725.jpg,A,85,22,86,29
Box_2_Acidic_062_2_2738.jpg,A,58,26,61,30
Box_2_Acidic_062_2_2739.jpg,A,67,23,69,31
Box_2_Acidic_062_3_2753.jpg,A,123,24,126,30
Box_2_Acidic_062_4_2771.jpg,A,35,23,37,27
Box_2_Acidic_064_1_2096.jpg,A,55,22,59,26
Box_2_Acidic_064_3_2119.jpg,A,79,25,81,28
Box_2_Acidic_064_6_2167.jpg,A,85,26,89,31
Box_2_Acidic_064_6_2170.jpg,A,82,20,84,24
Box_2_Acidic_066_3_2216.jpg,A,102,22,104,29
Box_2_Acidic_066_4_2227.jpg,A,66,24,69,29
Box_2_Acidic_066_4_2228.jpg,A,82,26,85,32
Box_2_Acidic_066_4_2234.jpg,A,54,19,54,24
Box_2_Acidic_066_5_2245.jpg,A,80,22,81,25
Box_2_Acidic_068_2_3034.jpg,A,99,25,103,30
Box_2_Acidic_068_2_3036.jpg,A,54,20,54,23
Box_2_Acidic_068_6_3074.jpg,A,71,21,72,26
Box_2_Acidic_068_6_3080.jpg,A,100,25,107,27
Box_2_Acidic_070_3_2832.jpg,A,91,22,93,28
Box_2_Acidic_070_6_2851.jpg,A,103,22,107,27
Box_2_Acidic_072_2_2283.jpg,A,71,23,72,29
Box_2_Acidic_074_1_2574.jpg,A,100,21,101,26
Box_2_Acidic_074_2_2585.jpg,A,77,22,79,27
Box_2_Acidic_074_3_2596.jpg,A,71,29,72,32
Box_2_Acidic_074_3_2597.jpg,A,104,22,108,30
Box_2_Acidic_074_4_2608.jpg,A,54,23,55,25
Box_2_Acidic_074_6_2634.jpg,A,53,22,56,27
Box_2_Acidic_074_6_2639.jpg,A,81,23,84,28
Box_2_Acidic_076_2_2439.jpg,A,131,23,137,30
Box_2_Acidic_076_2_2441.jpg,A,124,27,127,31
Box_2_Acidic_076_5_2474.jpg,A,55,23,57,26
Box_2_Acidic_078_6_2405.jpg,A,103,23,109,28
Box_2_Acidic_080_5_2918.jpg,A,61,23,63,30
Box_2_Acidic_080_5_2921.jpg,A,70,23,71,26
Box_2_Acidic_082_1_2500.jpg,A,123,29,132,31
Box_2_Acidic_082_1_2501.jpg,A,52,20,54,23
Box_2_Acidic_082_3_2533.jpg,A,72,21,75,28
Box_2_Acidic_084_1_2653.jpg,A,65,21,68,27
Box_2_Acidic_084_2_2669.jpg,A,53,22,56,26
Box_2_Acidic_084_3_2679.jpg,A,67,24,68,30
Box_2_Acidic_084_6_2715.jpg,A,60,21,61,28
Box_2_Acidic_084_6_2718.jpg,A,74,29,76,34
Box_2_Acidic_084_6_2719.jpg,A,82,29,85,31
Box_2_Acidic_086_2_3169.jpg,A,91,28,92,33
Box_2_Acidic_086_2_3172.jpg,A,98,24,100,27
Box_2_Acidic_086_3_3189.jpg,A,140,24,147,31
Box_2_Acidic_086_6_3224.jpg,A,95,18,95,28
Box_2_Acidic_086_6_3225.jpg,A,71,21,72,27
Box_2_Acidic_086_6_3233.jpg,A,90,23,91,26
Box_2_Acidic_088_1_3236.jpg,A,59,22,60,28
Box_2_Acidic_088_2_3255.jpg,A,73,20,77,27
Box_2_Acidic_090_2_2958.jpg,A,41,20,44,23
Box_2_Acidic_090_3_2974.jpg,A,115,25,116,30
Box_2_Acidic_090_5_2991.jpg,A,64,22,65,27
Box_2_Acidic_094_1_3086.jpg,A,59,22,60,27
Box_2_Acidic_094_5_3136.jpg,A,73,22,73,28
Box_2_Acidic_096_4_3358.jpg,A,61,20,63,27
Box_2_Acidic_100_1_3501.jpg,A,64,24,65,26
Box_2_Acidic_100_4_3524.jpg,A,98,27,99,34
Box_2_Acidic_100_5_3544.jpg,A,72,27,74,29
Box_3_Acidic_002_1_4230.jpg,A,91,23,93,32
Box_3_Acidic_002_1_4232.jpg,A,62,31,65,34
Box_3_Acidic_002_3_4248.jpg,A,63,22,64,24
Box_3_Acidic_004_3_4316.jpg,A,57,24,58,30
Box_3_Acidic_004_5_4339.jpg,A,89,24,96,28
Box_3_Acidic_004_5_4341.jpg,A,46,23,47,25
Box_3_Acidic_006_1_4671.jpg,A,64,23,68,30
Box_3_Acidic_006_2_4683.jpg,A,65,25,68,30
Box_3_Acidic_006_6_4722.jpg,A,64,20,67,29
Box_3_Acidic_008_1_4360.jpg,A,74,24,79,32
Box_3_Acidic_008_1_4365.jpg,A,77,30,79,35
Box_3_Acidic_008_2_4376.jpg,A,106,25,109,31
Box_3_Acidic_008_2_4382.jpg,A,79,24,82,29
Box_3_Acidic_008_4_4406.jpg,A,66,21,68,25
Box_3_Acidic_010_5_4769.jpg,A,71,27,75,35
Box_3_Acidic_014_1_3884.jpg,A,60,23,61,29
Box_3_Acidic_014_2_3893.jpg,A,65,21,68,26
Box_3_Acidic_014_3_3911.jpg,A,98,28,101,31
Box_3_Acidic_014_3_3915.jpg,A,86,24,89,30
Box_3_Acidic_014_4_3925.jpg,A,66,24,68,30
Box_3_Acidic_014_4_3927.jpg,A,49,25,50,27
Box_3_Acidic_014_4_3930.jpg,A,65,20,68,27
Box_3_Acidic_014_5_3935.jpg,A,61,27,62,30
Box_3_Acidic_014_5_3937.jpg,A,78,29,80,32
Box_3_Acidic_014_5_3941.jpg,A,82,24,85,32
Box_3_Acidic_014_6_3953.jpg,A,93,29,97,33
Box_3_Acidic_016_1_4516.jpg,A,64,25,67,28
Box_3_Acidic_016_1_4524.jpg,A,76,24,80,26
Box_3_Acidic_016_3_4540.jpg,A,58,23,59,29
Box_3_Acidic_016_5_4569.jpg,A,49,22,51,25
Box_3_Acidic_016_6_4574.jpg,A,91,24,94,31
Box_3_Acidic_018_1_4785.jpg,A,137,24,141,32
